JP	EN
湖北省	Hubei
広東省	Guangdong
浙江省	Zhejiang
河南省	Henan
湖南省	Hunan
安徽省	Anhui
江西省	Jiangxi
江蘇省	Jiangsu
重慶市	Chongqing
山東省	Shandong
四川省	Sichuan
黒竜江省	Heilongjiang
北京市	Beijing
上海市	Shanghai
福建省	Fujian
河北省	Hebei
陝西省	Shaanxi
広西	Guangxi
雲南省	Yunnan
海南省	Hainan
山西省	Shanxi
貴州省	Guizhou
遼寧省	Liaoning
天津市	Tianjin
甘粛省	Gansu
吉林省	Jilin
内モンゴル	Inner Mongolia
新疆ウイグル	Xinjiang
寧夏	Ningxia
青海省	Qinghai
チベット	Tibet
中国	China
香港	Hong Kong
マカオ	Macau
台湾	Taiwan
日本	Japan
韓国	South Korea
ベトナム	Vietnam
シンガポール	Singapore
豪州	Australia
マレーシア	Malaysia
カンボジア	Cambodia
フィリピン	Philippines
タイ	Thailand
ネパール	Nepal
スリランカ	Sri Lanka
インド	India
スイス	Switzerland
クロアチア	Croatia
アルジェリア	Algeria
米国	United States
カナダ	Canada
フランス	France
フィンランド	Finland
ドイツ	Germany
イタリア	Italy
ロシア	Russia
スペイン	Spain
スウェーデン	Sweden
イギリス	UK
ベルギー	Belgium
アラブ首長国連邦	United Arab Emirates
エジプト	Egypt
オマーン	Oman
クウェート	Kuwait
バーレーン	Bahrain
アフガニスタン	Afghanistan
イラク	Iraq
レバノン	Lebanon
イラン	Iran
ルーマニア	Romania
ノルウェー	Norway
北マケドニア	North Macedonia
ギリシャ	Greece
ジョージア	Georgia
ブラジル	Brazil
オーストリア	Austria
オランダ	Netherlands
イスラエル	Israel
エクアドル	Ecuador
メキシコ	Mexico
デンマーク	Denmark
パキスタン	Pakistan
チェコ	Czech Republic
アゼルバイジャン	Azerbaijan
カタール	Qatar
アイスランド	Iceland
ドミニカ共和国	Dominican Republic
アルメニア	Armenia
モナコ	Monaco
ルクセンブルク	Luxembourg
アイルランド	Ireland
ナイジュリア	Nigeria
ニュージーランド	New Zealand
リトアニア	Lithuania
ベラルーシ	Belarus
サン・マリノ	San Marino
エストニア	Estonia
クルーズ船(DP)	Diamond Princess cruise ship
未割り当て(from DP)	Unassigned Location (From Diamond Princess)
ラックランド空軍基地(from DP)	Lackland, TX (From Diamond Princess)
トラビス空軍基地(from DP)	Travis, CA (From Diamond Princess)
オマハ	Omaha, NE (From Diamond Princess)
サクラメント	Sacramento County, CA
ハンボルト	Humboldt County, CA
テンピ	Tempe, AZ
オレンジ 	Orange, CA
ロサンゼルス	Los Angeles, CA
ボストン	Boston, MA
マディソン	Madison, WI
サンアントニオ	San Antonio, TX
シカゴ	Chicago, IL
キング	King County, WA
スノホミッシュ	Snohomish County, WA
プロビデンス	Providence, RI
ポートランド	Portland, OR
サンタクララ	Santa Clara, CA
サンベニト	San Benito, CA
サンディエゴ	San Diego County, CA
シアトル	Seattle, WA
クイーンズランド	Queensland
南オーストラリア州	South Australia
西オーストラリア州	Western Australia
ニューサウスウェールズ	New South Wales
ビクトリア	Victoria
ブリティッシュコロンビア	British Columbia
ロンドン(カナダ)	London, ON
トロント	Toronto, ON
モントリオール	 Montreal, QC
